city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Villeneuve-le-Roi,48.7333,2.4167,France,FR,Île-de-France,,21679,21679
Montigny-lès-Cormeilles,48.9944,2.1958,France,FR,Île-de-France,,21638,21528
Achères,48.9602,2.0684,France,FR,Île-de-France,,21529,21529
Gif-sur-Yvette,48.7018,2.1339,France,FR,Île-de-France,,21308,21007
Saint-Jean-de-Braye,47.9128,1.9719,France,FR,Centre-Val de Loire,,21288,21288
Mons-en-Baroeul,50.6369,3.1103,France,FR,Hauts-de-France,,21277,21277
Longjumeau,48.6943,2.2958,France,FR,Île-de-France,,21269,21269
Montereau-faut-Yonne,48.3853,2.9508,France,FR,Île-de-France,,21229,21229
Croix,50.6781,3.1508,France,FR,Hauts-de-France,,21087,20881
Le Mée-sur-Seine,48.5333,2.6289,France,FR,Île-de-France,,21071,20917
Fleury-les-Aubrais,47.9312,1.921,France,FR,Centre-Val de Loire,,21070,21010
Bourg-la-Reine,48.7796,2.3151,France,FR,Île-de-France,,21050,21050
Saint-Genis-Laval,45.696,4.793,France,FR,Auvergne-Rhône-Alpes,,21019,20914
Coudekerque-Branche,51.0253,2.3917,France,FR,Hauts-de-France,,20925,20851
Neuilly-Plaisance,48.8619,2.5064,France,FR,Île-de-France,,20915,20878
Saint-Gratien,48.9719,2.2828,France,FR,Île-de-France,,20895,20895
Wasquehal,50.6694,3.1308,France,FR,Hauts-de-France,,20860,20860
La Celle-Saint-Cloud,48.8411,2.1344,France,FR,Île-de-France,,20830,20692
Mantes-la-Ville,48.975,1.7117,France,FR,Île-de-France,,20818,20818
Halluin,50.7836,3.1256,France,FR,Hauts-de-France,,20808,20743
Nogent-sur-Oise,49.2756,2.4683,France,FR,Hauts-de-France,,20780,20780
Chaville,48.8086,2.1886,France,FR,Île-de-France,,20771,20771
Morsang-sur-Orge,48.6618,2.3461,France,FR,Île-de-France,,20619,20124
Fougères,48.3525,-1.1986,France,FR,Bretagne,minor,20595,20595
Saint-Michel-sur-Orge,48.6325,2.3028,France,FR,Île-de-France,,20484,20484
Saint-Pol-sur-Mer,51.0314,2.3439,France,FR,Hauts-de-France,,20479,20479
Lisieux,49.15,0.23,France,FR,Normandie,minor,20171,20038
Le Plessis-Trévise,48.8111,2.5717,France,FR,Île-de-France,,20025,19829
Sceaux,48.7786,2.2906,France,FR,Île-de-France,,20004,20004
Chevilly-Larue,48.7664,2.3533,France,FR,Île-de-France,,19988,19988
Denain,50.3286,3.395,France,FR,Hauts-de-France,,19933,19877
Chilly-Mazarin,48.7025,2.3125,France,FR,Île-de-France,,19858,19822
Lingolsheim,48.5575,7.6831,France,FR,Grand Est,,19797,19797
Saint-Cyr-l’École,48.8003,2.0625,France,FR,Île-de-France,,19792,19792
Joinville-le-Pont,48.8214,2.4728,France,FR,Île-de-France,,19652,19652
Saint-Fons,45.7086,4.8533,France,FR,Auvergne-Rhône-Alpes,,19617,19617
Moulins,46.5647,3.3325,France,FR,Auvergne-Rhône-Alpes,minor,19563,19246
Ronchin,50.6047,3.0878,France,FR,Hauts-de-France,,19477,19294
Mont-Saint-Aignan,49.4625,1.0872,France,FR,Normandie,,19357,19357
Cugnaux,43.5378,1.3436,France,FR,Occitanie,,19344,19344
Écully,45.7744,4.7775,France,FR,Auvergne-Rhône-Alpes,,18948,18948
Villefontaine,45.6133,5.1486,France,FR,Auvergne-Rhône-Alpes,,18835,18835
Gentilly,48.8133,2.3444,France,FR,Île-de-France,,18815,18815
Hem,50.6553,3.1878,France,FR,Hauts-de-France,,18636,18636
Hellemmes-Lille,50.6283,3.11,France,FR,Hauts-de-France,,18437,18437
Cran-Gévrier,45.9036,6.1039,France,FR,Auvergne-Rhône-Alpes,,18330,18330
Éragny,49.0172,2.0914,France,FR,Île-de-France,,18296,18296
Soisy-sous-Montmorency,48.9878,2.2997,France,FR,Île-de-France,,18243,18033
Fâches-Thumesnil,50.5989,3.0736,France,FR,Hauts-de-France,,18191,18191
Floirac,44.8364,-0.5258,France,FR,Nouvelle-Aquitaine,,18181,18181
Chennevières-sur-Marne,48.7983,2.5339,France,FR,Île-de-France,,18142,18039
Bonneuil-sur-Marne,48.7742,2.4875,France,FR,Île-de-France,,18062,18062
Maurepas,48.7628,1.9456,France,FR,Île-de-France,,18019,17683
Garches,48.8456,2.1869,France,FR,Île-de-France,,17795,17795
Meylan,45.2086,5.7794,France,FR,Auvergne-Rhône-Alpes,,17786,17786
Les Clayes-sous-Bois,48.8206,1.9836,France,FR,Île-de-France,,17560,17487
Bry-sur-Marne,48.8411,2.5222,France,FR,Île-de-France,,17525,17525
